date,variable,US,AU,CA,DE,FR,GB,IE,JP
2020-09-23,total postings,87.5,79.12,81.4,85.48,77.08,53.6,62.74,93.38
2020-09-24,total postings,87.65,79.56,81.71,85.37,77.28,53.67,62.79,93.54
2020-09-25,total postings,87.81,80.13,81.98,85.34,77.5,53.71,63.0,93.83
2020-09-26,total postings,87.97,80.77,82.27,85.39,77.62,53.81,63.24,94.11
2020-09-27,total postings,88.13,81.42,82.56,85.47,77.82,53.88,63.59,94.41
2020-09-28,total postings,88.38,82.16,82.95,85.83,78.21,54.06,64.07,94.79
2020-09-29,total postings,88.66,82.93,83.32,86.1,78.57,54.26,64.36,95.42
2020-09-30,total postings,88.93,83.62,83.7,86.39,78.68,54.44,64.54,95.95
2020-10-01,total postings,89.09,84.05,83.85,86.63,78.33,54.48,64.69,96.17
2020-10-02,total postings,89.25,84.42,83.99,86.99,78.21,54.6,64.84,96.44
2020-10-03,total postings,89.47,84.78,84.08,87.39,78.27,54.8,65.04,96.86
2020-10-04,total postings,89.65,85.02,84.19,87.9,78.2,54.9,65.14,97.24
2020-10-05,total postings,89.8,85.16,84.27,88.16,78.17,55.03,65.15,96.25
2020-10-06,total postings,89.85,85.26,84.29,88.49,78.07,55.08,65.11,95.01
2020-10-07,total postings,89.93,85.93,84.28,88.85,78.22,55.17,65.14,94.0
2020-10-08,total postings,90.17,86.88,84.48,89.47,78.99,55.46,65.29,93.22
2020-10-09,total postings,90.41,87.98,84.75,89.65,79.63,55.73,65.52,92.33
2020-10-10,total postings,90.65,88.99,85.03,89.93,80.1,55.78,65.71,91.37
2020-10-11,total postings,90.93,90.03,85.31,90.15,80.74,55.89,65.98,90.5
2020-10-12,total postings,91.18,91.21,85.57,90.52,81.33,55.92,66.28,90.95
2020-10-13,total postings,91.39,92.33,85.64,90.37,81.3,55.83,66.36,91.62
2020-10-14,total postings,91.54,92.95,85.7,90.34,81.5,55.83,66.35,92.23
2020-10-15,total postings,91.62,93.42,85.83,90.33,81.83,55.85,66.44,92.38
2020-10-16,total postings,91.63,93.74,85.81,90.58,81.81,55.73,66.29,92.33
2020-10-17,total postings,91.55,94.22,85.77,90.66,81.7,55.8,66.24,92.03
2020-10-18,total postings,91.55,94.69,85.78,90.63,81.34,55.77,66.06,91.66
2020-10-19,total postings,91.52,95.06,85.82,90.4,80.89,55.79,65.87,91.33
2020-10-20,total postings,91.61,95.53,86.19,90.48,80.85,55.94,65.88,91.0
2020-10-21,total postings,91.74,96.24,86.54,90.77,80.93,56.11,65.87,91.39
2020-10-22,total postings,91.88,96.93,86.69,90.81,80.8,56.16,65.65,91.31
2020-10-23,total postings,92.02,97.46,86.87,90.91,80.91,56.31,65.57,91.36
2020-10-24,total postings,92.28,97.46,86.97,91.01,81.21,56.44,65.34,91.61
2020-10-25,total postings,92.43,97.42,87.02,91.23,81.67,56.7,65.31,91.79
2020-10-26,total postings,92.6,97.42,86.99,91.32,81.87,56.87,65.25,92.11
2020-10-27,total postings,92.74,97.39,86.92,91.81,82.66,57.2,65.32,92.52
2020-10-28,total postings,92.85,97.19,86.89,91.88,82.94,57.35,65.28,92.25
2020-10-29,total postings,93.0,97.15,87.03,92.13,83.1,57.59,65.4,92.81
